UNITID,FACSTAT,SISTOTL,SISPROF,SISASCP,SISASTP,SISINST,SISLECT,SISNORK
142276,0,599,134,132,175,92,65,1
142285,0,520,172,162,120,55,0,11
142294,0,80,29,15,18,5,12,1
142328,0,152,40,59,32,21,0,0
142443,0,128,43,41,43,0,0,1
142461,0,99,28,34,37,0,0,0
142522,0,605,0,0,0,0,0,605
142559,0,138,50,16,16,56,0,0
142832,0,55,11,15,16,0,0,13
142887,0,16,0,0,0,16,0,0
143048,0,144,54,69,15,0,0,6
143084,0,201,70,45,34,52,0,0
143118,0,126,22,47,47,0,10,0
143215,0,148,59,34,28,24,0,3
143233,0,9,4,1,4,0,0,0
143279,0,94,43,13,12,26,0,0
143288,0,37,36,0,0,0,0,1
143297,0,33,1,5,21,6,0,0
143358,0,334,80,85,132,24,13,0
143613,0,39,0,0,0,0,0,39
143659,0,25,14,6,5,0,0,0
143853,0,207,39,72,91,2,0,3
143978,0,56,15,26,15,0,0,0
144005,0,142,41,45,42,0,14,0
144014,0,11,5,3,3,0,0,0
144050,0,2646,927,491,621,103,397,107
144157,0,65,2,16,19,20,0,8
144166,0,117,5,17,33,62,0,0
144175,0,39,4,14,12,8,0,1
144184,0,64,5,9,12,32,0,6
144193,0,48,4,11,14,19,0,0
144209,0,98,17,28,34,19,0,0
144218,0,76,17,26,18,15,0,0
144281,0,234,43,117,18,0,56,0
144351,0,239,38,36,15,150,0,0
144564,0,62,20,0,0,27,0,15
144740,0,860,216,327,104,213,0,0
144865,0,266,123,56,85,2,0,0
144883,0,8,0,3,5,0,0,0
144892,0,379,147,58,54,120,0,0
144944,0,143,58,27,22,36,0,0
144962,0,171,51,37,59,1,20,3
144971,0,31,5,14,12,0,0,0
145239,0,22,0,0,0,22,0,0
145275,0,25,12,9,3,1,0,0
145336,0,245,34,59,79,3,56,14
145372,0,48,6,12,25,5,0,0
145497,0,12,1,3,8,0,0,0
145521,0,46,0,0,0,0,0,46
145558,0,159,31,56,56,10,1,5
145600,0,2293,551,586,809,137,199,11
145619,0,114,40,37,31,6,0,0
145628,0,48,5,25,15,1,0,2
145637,0,2404,837,563,703,86,185,30
145646,0,108,32,43,30,3,0,0
