UNITID,CDACTUA,CNACTUA,CDACTGA,EFTEUG,EFTEGD,FTEUG,FTEGD,FTEDPP,ACTTYPE
443951,,56700,,63,,63,,,1
443979,,114741,,127,,127,,,1
444051,,150710,,167,,167,,,1
444088,19570,,,652,,652,,,2
444103,,,430,,18,,18,,-2
444130,4674,,176279,156,7345,156,7345,91,2
444194,6656,,,222,,222,,,2
444219,156652,,,5222,,5222,,,2
444228,,27468,,31,,31,,,1
444255,3827,,,85,,85,,,2
444264,175,,,6,,6,,,2
444282,,77661,,86,,86,,,1
444291,,87947,,98,,98,,,1
444307,,65795,,73,,73,,,1
444325,3735,,,125,,125,,,2
444334,1997,,,67,,67,,,2
444361,2736,,,91,,91,,,2
444370,,22448,,25,,25,,,1
444398,2497,,,83,,83,,,2
444404,,10640,,12,,14,,,1
444413,5100,,360,170,15,170,15,,2
444440,,69158,,77,,77,,,1
444468,,24645,,27,,27,,,1
444486,,322762,,359,,359,,,1
444510,,100230,,111,,111,,,1
444529,,45300,,50,,50,,,1
444556,24308,,,810,,810,,,2
444565,15008,,,334,,334,,,2
444583,10140,,,338,,338,,,2
444635,192,64330,,78,,78,,,3
444662,,163645,,182,,182,,,1
444671,5586,,,124,,124,,,2
444699,,,1200,,50,,50,,-2
444714,8155,,,272,,272,,,2
444732,,92700,,103,,103,,,1
444778,1272,,906,42,38,42,38,34,2
444787,87365,,48,2912,2,2912,2,,2
444811,18720,,,624,,624,,,2
444857,,107078,,119,,119,,,1
444866,8475,88630,,381,,381,,,3
444893,,455788,,506,,506,,,1
444936,,92876,,103,,103,,,1
444945,,392774,,436,,436,,,1
444954,25670,,,856,,856,,,2
445027,665154,,59816,14781,1662,15756,2232,0,2
445133,10911,,1596,242,44,242,44,,2
445188,259134,,18723,8638,780,8638,780,,2
445203,7401,8625,,256,,256,,,3
445212,,197887,,220,,220,,,1
445230,26831,,,894,,894,,,2
445249,9262,,,309,,309,,,2
445267,49505,,5822,1650,243,1650,243,,2
445364,,409767,,455,,455,,,1
445461,34574,,,1152,,1152,,,2
445498,,19580,,22,,22,,,1
445540,,60436,,67,,67,,,1
445647,,102111,,113,,130,,,1
445656,,125506,,139,,139,,,1
445692,26468,,,588,,588,,,2
445708,36129,,3,1204,0,1204,0,,2
445735,22315,,1632,744,68,744,68,938,2
445744,19470,,,649,,649,,,2
445762,8572,,,286,,286,,,2
445780,,49704,,55,,55,,,1
445799,42932,,,1431,,1431,,,2
445841,,153550,,171,,171,,,1
445850,,130990,,146,,146,,,1
445869,,,7975,,332,,332,65,-2
445911,26714,,,890,,890,,,2
445948,55173,,,1839,,1839,,,2
