UNITID,SANIN01,SANIT01,SANIN02,SANIT02,SANIN03,SANIT03,SANIN04,SANIT04,SANIN05,SANIT05,SANIN06,SANIT06,SANIN07,SANIT07,SANIN08,SANIT08,SANIN09,SANIT09,SANIN10,SANIT10,SANIN11,SANIT11,SANIN12,SANIT12,SANIN13,SANIT13,SANIN14,SANIT14
153302,36,1476130,0,0,0,0,1,43824,12,684815,2,78617,0,0,6,228356,0,0,7,169627,4,137219,2,73123,2,60549,0,0
153311,246,14357874,0,0,0,0,97,5001170,31,3451087,5,402250,24,1383629,17,861116,0,0,17,762373,4,311789,51,2184460,0,0,0,0
153320,47,1899256,0,0,0,0,1,30472,17,995992,2,79144,1,31200,3,118888,1,28288,4,118288,3,73992,15,422992,0,0,0,0
153366,154,7027305,0,0,0,0,20,850229,25,2003716,7,420107,8,418613,36,1401111,4,154368,18,500502,0,0,30,1036257,6,242402,0,0
153375,150,8485019,0,0,0,0,34,1534796,22,2571392,18,955103,7,525509,42,1860389,0,0,0,0,0,0,20,698141,7,339689,0,0
153384,506,35225841,0,0,0,0,68,4288089,64,9635607,34,3675908,45,3423707,48,2797466,8,489990,123,5228301,2,81598,81,3605834,26,1629891,7,369450
153427,5,278842,0,0,0,0,0,0,2,145667,1,71903,0,0,0,0,0,0,0,0,0,0,2,61272,0,0,0,0
153445,205,12136588,0,0,0,0,61,3132188,52,4602527,31,1588205,11,754550,11,555027,0,0,6,221923,0,0,32,1237382,1,44786,0,0
153472,237,12060790,0,0,0,0,24,1390131,24,2331328,14,742224,19,1122799,51,2439236,3,141405,49,1686944,9,430654,37,1444745,5,265874,2,65450
153524,241,12262936,0,0,0,0,12,523493,48,3841237,12,632965,8,425326,47,1947068,0,0,41,1764231,0,0,59,2444443,7,369123,7,315050
153533,126,6979308,0,0,2,91809,22,1075216,27,2689492,3,168092,9,525029,11,477872,0,0,18,663167,2,88619,32,1200012,0,0,0,0
153603,4530,283201752,521,31190892,168,10893868,137,7734274,610,63996026,748,45623165,420,29643835,447,23469870,287,15828602,440,17125680,30,1226328,361,17263786,305,16638649,56,2566777
